"id","parent_id","root_id"
"1923","372","8"
"1924","985","8"
"1925","6102","8"
"1926","3796","8"
"1927","429","8"
"1929","2108","8"
"1930","262","8"
"1933","1284","8"
"1934","6126","8"
"1935","3693","8"
"1936","3699","8"
"1937","6005","8"
"1938","6110","8"
"1939","1174","8"
"1941","372","8"
"1942","6059","8"
"1944","1312","8"
"1945","3819","8"
"1946","6205","8"
"1947","6103","8"
"1948","2132","8"
"1949","6207","8"
"1950","10188","8"
"1952","5213","8"
"1953","3852","8"
"1954","3699","8"
"1955","3731","8"
"10212","9250","8"
"1957","548","8"
"1958","131","8"
"1959","2820","8"
"1960","6110","8"
"1961","1960","8"
"1962","462","8"
"1963","6222","8"
"1964","3689","8"
"1965","1935","8"
"1966","6222","8"
"1967","1692","8"
"1968","6190","8"
"1969","5997","8"
"1970","429","8"
"1971","1189","8"
"1972","5340","8"
"1974","1691","8"
"1975","6321","8"
"1976","6190","8"
"1977","1981","8"
"1978","1189","8"
"1979","3786","8"
"1981","279","8"
"1982","1189","8"
"1983","1189","8"
"1984","1279","8"
"1985","220","8"
"1987","6098","8"
"1988","3423","8"
"1990","6096","8"
"1991","2202","8"
"1992","1189","8"
"1993","6091","8"
"1994","1174","8"
"1995","2471","8"
"1998","6119","8"
"2000","1984","8"
"2001","262","8"
"2004","2181","8"
"2005","3786","8"
"2006","6075","8"
"2007","6031","8"
"2008","1174","8"
"2009","2471","8"
"2010","2471","8"
"2011","2471","8"
"2012","3424","8"
"2013","346","8"
"2014","6096","8"
"2015","6024","8"
"2016","3927","8"
"2019","6089","8"
"2020","6088","8"
"2021","18939","8"
"16651","1000","8"
"2024","279","8"
"2025","3796","8"
"2026","6102","8"
"2027","429","8"
"2029","279","8"
"2031","2036","8"
"2032","15319","8"
"2033","1449","8"
"2034","2036","8"
"2035","3675","8"
"2036","2035","8"
"2037","2035","8"
"2038","1605","8"
"2039","738","8"
"2040","6281","8"
"2041","3696","8"
"2042","1174","8"
"2043","1174","8"
"2045","5045","8"
"2047","1357","8"
"2048","462","8"
"2050","462","8"
"2051","6080","8"
"2052","6146","8"
"2053","1692","8"
"2054","3846","8"
